Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085341	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085438	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085438	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085445	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085445	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085447	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085447	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085452	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085452	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085455	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085455	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085507	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085507	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085508	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085508	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085515	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085515	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085516	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085516	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085517	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085517	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085530	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085530	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085531	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085531	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085547	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085547	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085548	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085548	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085549	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085549	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085613	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085613	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085620	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085620	|
Analog Failure	|P842	|1	|24V_DRIVER_RTN	|3	|170917085628	|
Analog Failure	|P511	|1	|UNNAMED_47_10MQ040N_I406_A	|3	|170917085628	|
Analog Failure	|P525	|1	|UNNAMED_47_BAS19_I178_A	|3	|170917092755	|
Analog Failure	|P541	|1	|UNNAMED_47_C_I179_B	|3	|170917092755	|
Analog Failure	|P725	|1	|UNNAMED_48_BAS19_I43_A	|3	|170917092755	|
Analog Failure	|P593	|1	|UNNAMED_48_C_I162_B	|3	|170917092755	|
Analog Failure	|P525	|1	|UNNAMED_47_BAS19_I178_A	|3	|170917093055	|
Analog Failure	|P541	|1	|UNNAMED_47_C_I179_B	|3	|170917093055	|
Analog Failure	|P725	|1	|UNNAMED_48_BAS19_I43_A	|3	|170917093055	|
Analog Failure	|P593	|1	|UNNAMED_48_C_I162_B	|3	|170917093055	|
Analog Failure	|P525	|1	|UNNAMED_47_BAS19_I178_A	|3	|170917093441	|
Analog Failure	|P541	|1	|UNNAMED_47_C_I179_B	|3	|170917093441	|
Analog Failure	|P525	|1	|UNNAMED_47_BAS19_I178_A	|3	|170917093444	|
Analog Failure	|P541	|1	|UNNAMED_47_C_I179_B	|3	|170917093444	|
Analog Failure	|P525	|1	|UNNAMED_47_BAS19_I178_A	|3	|170917093446	|
Analog Failure	|P541	|1	|UNNAMED_47_C_I179_B	|3	|170917093446	|
Analog Failure	|P525	|1	|UNNAMED_47_BAS19_I178_A	|3	|170917093447	|
