 A2ADB1        eM-Test Expert (R)     licence #1 AAAAAAAA TECHNOLOGY INC, 

 Test Fixture Nails     816/2076 Selected Drills           2-Jun-2015 14:05
                        816 Nails,  696 Nets               INCH units

Nail         X         Y   Type Grid T/B  Net   Net Name   Virtual Pin/Via
$419       0.675     2.850   1  A3   (B)  #494  UNNAMED_39_C_I248_A V VIA .
$420       2.300     2.800   1  B3   (B)  #633  UNNAMED_39_R_I124_B V VIA .
$421       0.550     2.750   1  A3   (B)  #624  UNNAMED_39_R_I242_A V VIA .
$422       1.375     3.100   1  B3   (B)  #657  UNNAMED_39_R_I286_B   VIA .
$423       7.105     1.075   1  F1   (B)  #655  UNNAMED_39_R_I310_B V VIA .
$424       7.430     1.075   1  F1   (B)  #654  UNNAMED_39_R_I312_B V VIA .
$425       1.895     2.800   1  B3   (B)  #67   UNNAMED_39_R_I345_B V VIA .
$426       6.350    11.465   1  F10  (B)  #376  UNNAMED_44_74HC14_I223_A V VIA .
$427       5.025    11.900   1  E10  (B)  #379  UNNAMED_44_74HC14_I263_A V VIA .
$428       5.375    11.850   1  E10  (B)  #370  UNNAMED_44_74HC14_I263_Y V VIA .
